"text_lang","count"
"pt","924"
"ur","38"
"sl","27"
"vi","28"
"cy","295"
"de","662"
"ru","90"
"fr","2927"
"es","6260"
"nl","579"
"hu","156"
"ro","109"
"el","18"
"is","93"
"hi","117"
"fa","179"
"eu","160"
"pl","486"
"tr","832"
"ja","410"
"uk","8"
"ta","1"
"cs","118"
"th","188"
"da","303"
"ar","776"
"lv","128"
"fi","277"
"sr","1"
"und","49290"
"lt","139"
"en","528341"
"in","1655"
"tl","1852"
"ko","25"
"et","560"
"ne","1"
"no","263"
"sv","299"
"it","970"
"iw","1"
"zh","114"
"ht","1582"